Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 4 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,18 to 64,NULL,80,60,15,35,*,20,25,*,5,15,,35,35,58,71,48,100,100,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,65 to 74,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Age,Under 18,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Female,NULL,80,55,10,30,*,15,20,*,5,10,,30,30,50,70,43,93,97,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Male,NULL,20,10,5,10,*,5,10,*,*,5,,10,10,70,80,60,100,100,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,13Q,NATIONAL COMMISSIONING HUB 1,All_Provider,nan,CCG,Total,Total,NULL,95,65,15,40,*,20,30,*,10,20,,40,40,56,73,49,95,98,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,18 to 64,NULL,200,105,70,80,5,20,50,10,25,20,,55,75,28,62,27,65,95,*,10,*
Quarter 4 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,65 to 74,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,Under 18,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Female,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
